"H2O_avg","H2O_filteravg","H2O_sdev","D_avg","D_sdev","D_adj","O18_avg","O18_sdev","O18_adj","Voltage_avg","Voltage_sdev","P_avg","P_sdev","T_avg","T_sdev","RD0_avg","RD1_avg","Time_avg","new.col"
9065.765,9065.765,2.11424927574762,0.000133909,1.10308657865094e-07,-101.695974358975,0.001958215,9.26309883354396e-07,-14.6791645885285,3.75,0.353553390593274,78.7288,0.0185261976670896,45.476,0.000848528137421879,12.8588,15.92235,1452386879.5,"Jan 9-14"
9064.2,9064.2,3.09559364258321,0.000133873333333333,9.95004187595804e-08,-101.924606837607,0.00195843,7.53458691634816e-07,-14.571932668329,3.5,0.5,78.7199,0.0202296811640719,45.4761333333333,0.000642910050731365,12.8621,15.9537,1452386879.66667,"Jan 9-14"
747.816033222591,747.816033222591,2.87496166447936,0.000150909122923588,1.27188989624604e-06,7.27917258710279,0.00201324375415282,4.55733469541402e-06,12.7665980812091,2.5,0,78.7138504983389,0.0211832600910283,45.4743205980066,0.000659525820467098,14.159238538206,15.3622784053156,1452387639.80066,"Jan 9-14"
945.135182724252,945.135182724252,2.60859319618204,0.000151211996677741,9.53528075092142e-07,9.22067101115926,0.00200529332225914,3.67791756194583e-06,8.80129539109043,2,0,78.7138684385382,0.0209174512601414,45.4746401993355,0.000486427754278872,14.1209740863787,15.3572129568106,1452388539.49169,"Jan 9-14"
1178.80727574751,1178.80727574751,2.78211703930235,0.000153001803986711,8.33604245501058e-07,20.6937947866087,0.0019997780730897,2.93736712175604e-06,6.05054767566157,1.5,0,78.7139764119601,0.0210305731832586,45.4746156146179,0.000767151899986315,14.0797564784053,15.340996345515,1452389439.18605,"Jan 9-14"
1509.05777408638,1509.05777408638,4.7878051368861,0.000155238186046512,6.11524296550282e-07,35.0295772212283,0.00199556019933555,2.35161107047904e-06,3.94686999279216,1,0,78.714011627907,0.0209359650125746,45.4738315614618,0.000606493105519916,14.0265481727575,15.3543295681063,1452390339.80399,"Jan 9-14"
1730.88415282392,1730.88415282392,4.08266910609963,0.000155116408637874,5.46177085866057e-07,34.2489528068831,0.0019961646179402,2.17907693076918e-06,4.24832565595992,0.75,0,78.713953820598,0.0209342787556927,45.4747475083056,0.000321821022874144,13.9892621262458,15.3651142857143,1452391239.49834,"Jan 9-14"
1986.42388704319,1986.42388704319,7.2872429976774,0.000154704451827243,4.42977668931121e-07,31.6082040207854,0.00199653827242525,1.90590022619332e-06,4.43468699513678,0.5,0,78.7140843853821,0.0209688130812799,45.4751003322259,0.000889550386014293,13.9437833887043,15.3715966777409,1452392139.18937,"Jan 9-14"
1482.25813953488,1482.25813953488,3.12473153947639,0.000155296285714286,6.76577631487009e-07,35.402010989011,0.00199583817275748,2.61192438316821e-06,4.08551010347904,1,0,78.7141637873754,0.0211712348311249,45.4677348837209,0.000416508186915757,14.0317820598007,15.3566332225914,1452400239.21262,"Jan 9-14"
741.230990033223,741.230990033223,4.80277605452309,0.000150911428571429,1.38834111528145e-06,7.29395238095239,0.00201201564784053,4.88040408117711e-06,12.1540762296916,2.5,0,78.7136338870432,0.0210889935236492,45.4673448504983,0.000616777967268756,14.1612740863787,15.3632647840532,1452426523.29236,"Jan 9-14"
930.76411627907,930.76411627907,2.76294775251013,0.000151150139534884,1.01397962855857e-06,8.82415086463915,0.00200347867109635,3.74301441284897e-06,7.89623246700539,2,0,78.7141468438538,0.0210891654253758,45.4689694352159,0.000591660950169421,14.1232890365449,15.3637684385382,1452427423.9103,"Jan 9-14"
1176.05933554817,1176.05933554817,4.19077815650413,0.00015304549833887,8.87337765921503e-07,20.9738867876309,0.00199703700996678,3.09459082323231e-06,4.68343389864229,1.5,0,78.7147880398671,0.0211342941640295,45.4659627906977,0.000679517612756279,14.0807215946844,15.353688372093,1452428323.60465,"Jan 9-14"
1525.98558139535,1525.98558139535,4.03364426759715,0.000155249179401993,6.93182468311416e-07,35.1000474486753,0.00199321102990033,2.46788207493179e-06,2.77521441413088,1,0,78.7139126245847,0.0211042169582746,45.4688073089701,0.000564458207090882,14.0233641196013,15.3622275747508,1452429223.31229,"Jan 9-14"
1718.67687707641,1718.67687707641,13.5695768866058,0.000155125478405316,6.00614283073684e-07,34.3070923417668,0.00199347840531561,2.0077719280764e-06,2.90856873596759,0.75,0,78.7138109634551,0.0211320162960216,45.4677787375415,0.000394731639918738,13.9908282392027,15.3712036544851,1452430122.99668,"Jan 9-14"
1958.7465448505,1958.7465448505,5.94172068418022,0.000154809810631229,5.41637880894546e-07,32.2835809694182,0.00199437122923588,2.0254864808096e-06,3.35386744931697,0.5,0,78.7142096345515,0.0211342283243557,45.4667112956811,0.000294287810849643,13.9474196013289,15.3881176079734,1452431023.62458,"Jan 9-14"
1494.68455149502,1494.68455149502,8.47353229463208,0.000155471893687708,6.79222105544292e-07,36.527703126331,0.00199555162790698,2.49089321484321e-06,3.94259496607333,1,0,78.7128202657807,0.0212768768368177,45.4664727574751,0.000696650585051253,14.0303448504983,15.3678063122924,1452439123.63455,"Jan 9-14"
760.319647840532,760.319647840532,3.21430868496431,0.000151223528239203,1.44380098237253e-06,9.29459127694,0.002010613089701,4.62353004625185e-06,11.4545459855346,2.5,0,78.7149006644518,0.021354387516941,45.4658797342193,0.000545852173937041,14.1635833887043,15.3636514950166,1452465407.76744,"Jan 9-14"
